Device time,"Ambient air temperature (℃)","Barometric pressure (kPa)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
16-08-2020 20:44:44.674,,,,,,0,
16-08-2020 20:44:44.818,,,,,,0,
16-08-2020 20:44:44.953,,,,,,0,
16-08-2020 20:44:45.147,,,,,,0,
16-08-2020 20:44:45.345,,,,0,0,0,
16-08-2020 20:44:45.483,,,,0,0,0,
16-08-2020 20:44:45.627,,,43.2,,,,
16-08-2020 20:44:45.768,,99,,,,,
16-08-2020 20:44:45.911,17,,,,,,
16-08-2020 20:44:46.046,,,,0,0,0,
16-08-2020 20:44:46.180,,,,0,0,0,
16-08-2020 20:44:46.334,,,,0,0,0,
16-08-2020 20:44:46.459,,,,0,0,0,
16-08-2020 20:44:46.588,,,,0,0,0,
16-08-2020 20:44:46.753,,,,0,0,0,
16-08-2020 20:44:46.976,,,,0,0,0,
16-08-2020 20:44:47.217,,,,0,0,0,
16-08-2020 20:44:47.481,,,,0,0,0,
16-08-2020 20:44:47.709,,,,0,0,0,
16-08-2020 20:44:48.016,,,,0,0,0,
16-08-2020 20:44:48.245,,,,0,0,0,
16-08-2020 20:44:48.498,,,,0,0,0,
16-08-2020 20:44:48.729,,,,0,0,0,
16-08-2020 20:44:48.981,,,,0,0,0,
16-08-2020 20:44:49.171,,,,0,0,0,
16-08-2020 20:44:49.329,,,,0,0,0,
16-08-2020 20:44:49.466,,,,0,0,0,
16-08-2020 20:44:49.613,,,,0,0,0,
16-08-2020 20:44:49.755,,,,0,0,0,
16-08-2020 20:44:49.887,,,,0,0,0,
16-08-2020 20:44:50.024,,,,0,0,0,
16-08-2020 20:44:50.162,,,,0,0,0,
16-08-2020 20:44:50.325,,,,0,0,0,
16-08-2020 20:44:50.473,,,,0,0,0,
16-08-2020 20:44:50.612,,,,0,0,0,
16-08-2020 20:44:50.740,,,,0,0,0,
16-08-2020 20:44:50.930,,,,0,0,0,
16-08-2020 20:44:51.156,,,,0,0,0,
16-08-2020 20:44:51.379,,,,0,0,0,
16-08-2020 20:44:51.602,,,,0,0,0,
16-08-2020 20:44:51.835,,,,0,0,0,
16-08-2020 20:44:52.058,,,,0,0,0,
16-08-2020 20:44:52.278,,,,0,0,0,
16-08-2020 20:44:52.470,,,,0,0,0,
16-08-2020 20:44:52.587,,,,0,0,0,
16-08-2020 20:44:52.715,,,,0,0,0,
16-08-2020 20:44:52.857,,,,0,0,0,
16-08-2020 20:44:52.984,,,,0,0,0,
16-08-2020 20:44:53.126,,,,0,0,0,
16-08-2020 20:44:53.258,,,,0,0,0,
16-08-2020 20:44:53.400,,,,0,0,0,
16-08-2020 20:44:53.528,,,,0,0,0,
16-08-2020 20:44:53.669,,,,0,0,0,
16-08-2020 20:44:53.810,,,,0,0,0,
16-08-2020 20:44:53.946,,,,0,0,0,
16-08-2020 20:44:54.103,,,,0,0,0,
16-08-2020 20:44:54.248,,,,0,0,0,
16-08-2020 20:44:54.378,,,,0,0,0,
16-08-2020 20:44:54.520,,,,0,0,0,
16-08-2020 20:44:54.646,,,,0,0,0,
16-08-2020 20:44:54.789,,,,0,0,0,
16-08-2020 20:44:54.913,,,,0,0,0,
16-08-2020 20:44:55.028,,,,0,0,0,
16-08-2020 20:44:55.246,,,,0,0,0,
16-08-2020 20:44:55.469,,,,0,0,0,
16-08-2020 20:44:55.698,,,,0,0,0,
16-08-2020 20:44:55.918,,,,0,0,0,
16-08-2020 20:44:56.143,,,,0,0,0,
16-08-2020 20:44:56.372,,,,0,0,0,
16-08-2020 20:44:56.565,,,,0,0,0,
16-08-2020 20:44:56.708,,,,0,0,0,
16-08-2020 20:44:56.837,,,,0,0,0,
16-08-2020 20:44:56.957,,,,0,0,0,
16-08-2020 20:44:57.097,,,,0,0,0,
16-08-2020 20:44:57.240,,,,0,0,0,
16-08-2020 20:44:57.383,,,,0,0,0,
16-08-2020 20:44:57.528,,,,0,0,0,
16-08-2020 20:44:57.667,,,,0,0,0,
16-08-2020 20:44:57.787,,,,0,0,0,
16-08-2020 20:44:57.942,,,,0,0,0,
16-08-2020 20:44:58.085,,,,0,0,0,
16-08-2020 20:44:58.216,,,,0,0,0,
16-08-2020 20:44:58.376,,,,0,0,0,
16-08-2020 20:44:58.516,,,,0,0,0,
16-08-2020 20:44:58.648,,,,0,0,0,
16-08-2020 20:44:58.798,,,,0,0,0,
16-08-2020 20:44:58.943,,,,0,0,0,
16-08-2020 20:44:59.118,,,,0,0,0,
16-08-2020 20:44:59.332,,,,0,0,0,
16-08-2020 20:44:59.554,,,,0,0,0,
16-08-2020 20:44:59.778,,,,0,0,0,
16-08-2020 20:45:00.000,,,,0,0,0,
16-08-2020 20:45:00.233,,,,0,0,0,
16-08-2020 20:45:00.456,,,,0,0,0,
16-08-2020 20:45:00.643,,,,0,0,0,
16-08-2020 20:45:00.775,,,,0,0,0,
16-08-2020 20:45:00.924,,,,0,0,0,
16-08-2020 20:45:01.055,,,,0,0,0,
16-08-2020 20:45:01.197,,,,0,0,0,
16-08-2020 20:45:01.327,,,,0,0,0,
16-08-2020 20:45:01.472,,,,0,0,0,
16-08-2020 20:45:01.616,,,,0,0,0,
16-08-2020 20:45:01.785,,,,0,0,0,
16-08-2020 20:45:01.908,,,,0,0,0,
16-08-2020 20:45:02.053,,,,0,0,0,
16-08-2020 20:45:02.190,,,,0,0,0,
16-08-2020 20:45:02.336,,,,0,0,0,
16-08-2020 20:45:02.477,,,,0,0,0,
16-08-2020 20:45:02.608,,,,0,0,0,
16-08-2020 20:45:02.760,,,,0,0,0,
16-08-2020 20:45:02.899,,,,0,0,0,
16-08-2020 20:45:03.066,,,,0,0,0,
16-08-2020 20:45:03.226,,,,0,0,0,
16-08-2020 20:45:03.438,,,,0,0,0,
16-08-2020 20:45:03.661,,,,0,0,0,
16-08-2020 20:45:03.884,,,,0,0,0,
16-08-2020 20:45:04.115,,,,0,0,0,
16-08-2020 20:45:04.339,,,,0,0,0,
16-08-2020 20:45:04.563,,,,0,0,0,
16-08-2020 20:45:04.767,,,,0,0,0,
16-08-2020 20:45:04.920,,,,0,0,0,
16-08-2020 20:45:05.067,,,,0,0,0,
16-08-2020 20:45:05.218,,,,0,0,0,
16-08-2020 20:45:05.351,,,,0,0,0,
16-08-2020 20:45:05.498,,,,0,0,0,
16-08-2020 20:45:05.648,,,,0,0,0,
16-08-2020 20:45:05.771,,,,0,0,0,
16-08-2020 20:45:05.911,,,,0,0,0,
16-08-2020 20:45:06.040,,,,0,0,0,
16-08-2020 20:45:06.167,,,,0,0,0,
16-08-2020 20:45:06.315,,,,0,0,0,
16-08-2020 20:45:06.445,,,,0,0,0,
16-08-2020 20:45:06.582,,,,0,0,0,
16-08-2020 20:45:06.716,,,,0,0,0,
16-08-2020 20:45:06.841,,,,0,0,0,
16-08-2020 20:45:07.014,,,,0,0,0,
16-08-2020 20:45:07.153,,,,0,0,0,
16-08-2020 20:45:07.594,,,,0,0,0,
16-08-2020 20:45:07.945,,,,0,0,0,
16-08-2020 20:45:08.228,,,,0,0,0,
16-08-2020 20:45:08.434,,,,0,0,0,
16-08-2020 20:45:08.600,,,,0,0,0,
16-08-2020 20:45:08.736,,,,0,0,0,
16-08-2020 20:45:08.884,,,,0,0,0,
16-08-2020 20:45:09.039,,,,0,0,0,
16-08-2020 20:45:09.186,,,,0,0,0,
16-08-2020 20:45:09.351,,,,0,0,0,
16-08-2020 20:45:09.563,,,,0,0,0,
16-08-2020 20:45:09.792,,,,0,0,0,
16-08-2020 20:45:10.093,,,,0,0,0,
16-08-2020 20:45:10.319,,,,0,0,0,
16-08-2020 20:45:10.541,,,,0,0,0,
16-08-2020 20:45:10.775,,,,0,0,0,
16-08-2020 20:45:10.970,,,,0,0,0,
16-08-2020 20:45:11.124,,,,0,0,0,
16-08-2020 20:45:11.245,,,,0,0,0,
16-08-2020 20:45:11.420,,,,0,0,0,
16-08-2020 20:45:11.655,,,,0,0,0,
16-08-2020 20:45:11.875,,,,0,0,0,
