Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
12-09-2020 19:51:43.730,,,,-0.705882352941177,,,,,,29.4117647058824,,,,
12-09-2020 19:51:43.778,,57.598012779565,,,3.30200912358334,17.1625096931389,,,0.920821948041173,,,-0.458668096830486,17,
12-09-2020 19:51:43.853,,,,,,,1114,,,,,,,
12-09-2020 19:51:43.896,,,,-0.670588235294118,,,,,,32.9411764705882,,,,
12-09-2020 19:51:43.970,,57.5604301857256,,,3.30291215177778,17.1634127213333,,,1.05403402153745,,,-0.405521930488123,17,
12-09-2020 19:51:43.988,,,,,,,1150,,,,,,,
12-09-2020 19:51:44.046,,,,-0.447058823529412,,,,,,55.2941176470588,,,,
12-09-2020 19:51:44.094,,57.5359561188913,,,3.30350111158334,17.1640016811389,,,1.2183482474633,,,-0.339967278013504,17,
12-09-2020 19:51:44.141,,,,,,,1200,,,,,,,
12-09-2020 19:51:44.174,,,,-0.0235294117647058,,,,,,97.6470588235294,,,,
12-09-2020 19:51:44.210,,57.513779294582,,,3.30408116458334,17.1645817341389,,,3.69954140356769,,,0.467889921821396,18,
12-09-2020 19:51:44.256,,,,,,,1179,,,,,,,
12-09-2020 19:51:44.326,,,,-0.0117647058823529,,,,,,98.8235294117647,,,,
12-09-2020 19:51:44.374,,57.4825779125386,,,3.30489835108334,17.1653989206389,,,3.69590241170276,,,0.466518769020437,18,
12-09-2020 19:51:44.445,,,,,,,1236,,,,,,,
12-09-2020 19:51:44.492,,,,-0.0117647058823529,,,,,,98.8235294117647,,,,
12-09-2020 19:51:44.556,,57.4487708159231,,,3.30585885491667,17.1663594244722,,,5.54529081353545,,,0.947632393532174,19,
12-09-2020 19:51:44.682,,,,,,,1248,,,,,,,
12-09-2020 19:51:44.716,,,,0.011764705882353,,,,,,101.176470588235,,,,
12-09-2020 19:51:44.752,,57.4143761116421,,,3.30700024808334,17.1675008176389,,,9.13831191430078,,,1.6908774960945,21,
12-09-2020 19:51:44.798,,,,,,,1367,,,,,,,
12-09-2020 19:51:44.829,,,,0.0352941176470588,,,,,,103.529411764706,,,,
12-09-2020 19:51:44.898,,57.3886260895938,,,3.30785618183334,17.1683567513889,,,7.65414658520899,,,1.21154125833486,21,
12-09-2020 19:51:44.944,,,,,,,1402,,,,,,,
12-09-2020 19:51:44.975,,,,0.0470588235294117,,,,,,104.705882352941,,,,
12-09-2020 19:51:45.021,,57.367757510756,,,3.30860402233334,17.1691045918889,,,10.0600097048779,,,1.71796590157227,22,
12-09-2020 19:51:45.055,,,,,,,1467,,,,,,,
12-09-2020 19:51:45.099,,,,0.0352941176470588,,,,,,103.529411764706,,,,
12-09-2020 19:51:45.129,,57.3498025341568,,,3.30929780136111,17.1697983709167,,,11.6991220649432,,,1.93784805810087,23,
12-09-2020 19:51:45.176,,,,,,,1493,,,,,,,
12-09-2020 19:51:45.198,,,,0.0823529411764706,,,,,,108.235294117647,,,,
12-09-2020 19:51:45.244,,57.331457107532,,,3.31006001536111,17.1705605849167,,,11.8189740416234,,,1.69363475154243,24,
12-09-2020 19:51:45.276,,,,,,,1549,,,,,,,
12-09-2020 19:51:45.321,,,,0.0823529411764706,,,,,,108.235294117647,,,,
12-09-2020 19:51:45.355,,57.3135616589019,,,3.31080435469445,17.17130492425,,,12.2791733276442,,,1.82368523601332,24,
12-09-2020 19:51:45.401,,,,,,,1592,,,,,,,
12-09-2020 19:51:45.432,,,,0.0941176470588236,,,,,,109.411764705882,,,,
12-09-2020 19:51:45.477,,57.2945768455449,,,3.31165333802778,17.1721539075833,,,13.3087122909553,,,1.82413433333837,25,
12-09-2020 19:51:45.502,,,,,,,1655,,,,,,,
12-09-2020 19:51:45.545,,,,0.141176470588235,,,,,,114.117647058824,,,,
12-09-2020 19:51:45.578,,57.2795377257102,,,3.31237585708334,17.1728764266389,,,14.5335720600808,,,1.8590098660628,26,
12-09-2020 19:51:45.621,,,,,,,1690,,,,,,,
12-09-2020 19:51:45.654,,,,0.164705882352941,,,,,,116.470588235294,,,,
12-09-2020 19:51:45.700,,57.2618024288864,,,3.31329092983334,17.1737914993889,,,15.5707543639917,,,1.82764369574411,27,
12-09-2020 19:51:45.734,,,,,,,1756,,,,,,,
12-09-2020 19:51:45.780,,,,0.164705882352941,,,,,,116.470588235294,,,,
12-09-2020 19:51:45.809,,57.2464514619661,,,3.31414127894445,17.1746418485,,,19.3638435752559,,,2.44953084625608,28,
12-09-2020 19:51:45.855,,,,,,,1804,,,,,,,
12-09-2020 19:51:45.925,,,,0.235294117647059,,,,,,123.529411764706,,,,
12-09-2020 19:51:45.976,,57.2238468226352,,,3.31548589938889,17.1759864689444,,,19.8126264515206,,,2.22982950857367,29,
12-09-2020 19:51:46.035,,,,,,,1894,,,,,,,
12-09-2020 19:51:46.080,,,,0.305882352941177,,,,,,130.588235294118,,,,
12-09-2020 19:51:46.231,,57.1905066565032,,,3.31761713688889,17.1781177064444,,,18.8949568610467,,,1.69927377626841,30,
12-09-2020 19:51:46.454,,,,,,,2068,,,,,,,
12-09-2020 19:51:46.675,,,,0.482352941176471,,,,,,148.235294117647,,,,
12-09-2020 19:51:46.897,,57.1264096802376,,,3.32445279130556,17.1849533608611,,,34.0055422664886,,,2.32043994798873,37,
12-09-2020 19:51:47.129,,,,,,,2509,,,,,,,
12-09-2020 19:51:47.353,,,,0.682352941176471,,,,,,168.235294117647,,,,
12-09-2020 19:51:47.576,,57.0839971119848,,,3.33275271052778,17.1932532800833,,,52.2181285223306,,,2.51547404866234,44,
12-09-2020 19:51:47.669,,,,,,,2996,,,,,,,
12-09-2020 19:51:47.732,,,,0.91764705882353,,,,,,191.764705882353,,,,
12-09-2020 19:51:47.780,,57.075175857029,,,3.33547709319445,17.19597766275,,,67.3088208374556,,,2.92516142010638,48,
12-09-2020 19:51:47.815,,,,,,,3122,,,,,,,
12-09-2020 19:51:47.851,,,,1.02352941176471,,,,,,202.352941176471,,,,
12-09-2020 19:51:47.896,,57.0712840354842,,,3.33708536541667,17.1975859349722,,,77.2851544866831,,,3.33776815913101,50,
12-09-2020 19:51:47.928,,,,,,,3197,,,,,,,
12-09-2020 19:51:47.975,,,,1.10588235294118,,,,,,210.588235294118,,,,
12-09-2020 19:51:48.037,,57.0672279951896,,,3.33907877691667,17.1995793464722,,,81.5561676012158,,,3.41151252916965,51,
12-09-2020 19:51:48.084,,,,,,,3347,,,,,,,
12-09-2020 19:51:48.116,,,,1.14117647058824,,,,,,214.117647058824,,,,
12-09-2020 19:51:48.162,,57.0648103747015,,,3.34092296491667,17.2014235344722,,,96.0708092574795,,,4.26512567107487,53,
12-09-2020 19:51:48.193,,,,,,,3429,,,,,,,
12-09-2020 19:51:48.238,,,,1.17647058823529,,,,,,217.647058823529,,,,
12-09-2020 19:51:48.269,,57.0637563579649,,,3.34256735644445,17.203067926,,,102.334430229241,,,3.97308247971656,55,
12-09-2020 19:51:48.313,,,,,,,3533,,,,,,,
12-09-2020 19:51:48.339,,,,1.18823529411765,,,,,,218.823529411765,,,,
12-09-2020 19:51:48.385,,57.0631706251046,,,3.34436912222223,17.2048696917778,,,102.157239800979,,,3.40900994510471,56,
12-09-2020 19:51:48.418,,,,,,,3637,,,,,,,
12-09-2020 19:51:48.509,,,,1.22352941176471,,,,,,222.352941176471,,,,
12-09-2020 19:51:48.540,,57.064592591788,,,3.34690701213889,17.2074075816944,,,124.940222871243,,,4.41279937754817,59,
12-09-2020 19:51:48.585,,,,,,,3789,,,,,,,
12-09-2020 19:51:48.616,,,,1.21176470588235,,,,,,221.176470588235,,,,
12-09-2020 19:51:48.662,,57.0662919695114,,,3.34894595380556,17.2094465233611,,,125.386914284916,,,3.88378559461756,60,
12-09-2020 19:51:48.732,,,,,,,3874,,,,,,,
12-09-2020 19:51:48.776,,,,1.18823529411765,,,,,,218.823529411765,,,,
12-09-2020 19:51:48.811,,57.0697525229709,,,3.35150015230556,17.2120007218611,,,133.276104253405,,,3.59217256156553,62,
12-09-2020 19:51:48.856,,,,,,,4012,,,,,,,
