Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
12-09-2020 19:48:15.808,,,,,,,,,,,,,44,
12-09-2020 19:48:15.953,,,,,,,1943,,,,,,,
12-09-2020 19:48:16.109,,,,,,,,,,,50.1960784313725,,,
12-09-2020 19:48:16.256,,,,0.18675,,,,,,120,,,,
12-09-2020 19:48:16.419,,,,,,,,,,,,,47,
12-09-2020 19:48:16.539,,,,,,,2019,,,,,,,
12-09-2020 19:48:16.737,,,,,,,,,,,21.5686274509804,,,
12-09-2020 19:48:16.950,,,,-0.660308823529412,,,,,,35.2941176470588,,,,
12-09-2020 19:48:17.172,,,100,,,,,,,,,,,
12-09-2020 19:48:17.394,,,,,0.0132713655277778,13.8737719350833,,,,,,,49,
12-09-2020 19:48:17.627,,,,,,,1556,,,,,,,
12-09-2020 19:48:17.849,,,,,,,,,,,42.3529411764706,,,
12-09-2020 19:48:18.075,,,,-0.0352941176470588,,,,,,96.4705882352941,,,,
12-09-2020 19:48:18.298,,103.975407583857,,,0.0260682231944444,13.88656879275,,,,,,,51,
12-09-2020 19:48:18.529,,,,,,,1640,,,,,,,
12-09-2020 19:48:18.751,,,,,,,,,,,45.0980392156863,,,
12-09-2020 19:48:18.838,,,,0.0588235294117648,,,,,,105.882352941176,,,,
12-09-2020 19:48:18.865,,84.300657072329,,,0.0344211174166667,13.8949216869722,,,68.9102386597471,,,0.817705001015099,53,
12-09-2020 19:48:18.913,,,,,,,1675,,,,,,,
12-09-2020 19:48:18.976,,,,,,,,,,,45.0980392156863,,,
12-09-2020 19:48:19.020,,,,0.0470588235294117,,,,,,104.705882352941,,,,
12-09-2020 19:48:19.062,,80.7275747938932,,,0.0373685589166667,13.8978691284722,,,72.0167093531784,,,0.735908749871773,54,
12-09-2020 19:48:19.207,,,,,,,,21.6,,,,,,
12-09-2020 19:48:19.338,,,100,,,,,,,,,,,
12-09-2020 19:48:19.465,26,,,,,,,,,,,,,
12-09-2020 19:48:19.521,,,,,,,1728,,,,,,,
12-09-2020 19:48:19.560,,,,,,,,,,,43.921568627451,,,
12-09-2020 19:48:19.598,,,,0.0705882352941177,,,,,,107.058823529412,,,,
12-09-2020 19:48:19.634,,74.1490642362988,,,0.0461146191944444,13.90661518875,,,76.1266025564522,,,0.744131865405238,55,
12-09-2020 19:48:19.679,,,,,,,1750,,,,,,,
12-09-2020 19:48:19.711,,,,,,,,,,,45.4901960784314,,,
12-09-2020 19:48:19.755,,,,0.0823529411764706,,,,,,108.235294117647,,,,
12-09-2020 19:48:19.788,,72.9843409047306,,,0.0485035480833333,13.9090041176389,,,81.6757599035611,,,0.932024535270012,56,
12-09-2020 19:48:19.834,,,,,,,1765,,,,,,,
12-09-2020 19:48:19.856,,,,,,,,,,,45.8823529411765,,,
12-09-2020 19:48:19.901,,,,0.0941176470588236,,,,,,109.411764705882,,,,
12-09-2020 19:48:19.937,,71.9900832912242,,,0.0508173218611111,13.9113178914167,,,80.4079560282746,,,0.777885571974438,56,
12-09-2020 19:48:19.983,,,,,,,1775,,,,,,,
12-09-2020 19:48:20.009,,,,,,,,,,,45.8823529411765,,,
12-09-2020 19:48:20.104,,,,0.0823529411764706,,,,,,108.235294117647,,,,
12-09-2020 19:48:20.161,,70.7730900558232,,,0.0543724546111111,13.9148730241667,,,84.391738808725,,,0.757997479809979,57,
12-09-2020 19:48:20.206,,,,,,,1797,,,,,,,
12-09-2020 19:48:20.238,,,,,,,,,,,46.2745098039216,,,
12-09-2020 19:48:20.282,,,,0.117647058823529,,,,,,111.764705882353,,,,
12-09-2020 19:48:20.315,,70.0989787960166,,,0.0568550930555556,13.9173556626111,,,92.6513813363818,,,1.22380710137078,58,
12-09-2020 19:48:20.348,,,,,,,1812,,,,,,,
12-09-2020 19:48:20.392,,,,,,,,,,,46.2745098039216,,,
12-09-2020 19:48:20.437,,,,0.117647058823529,,,,,,111.764705882353,,,,
12-09-2020 19:48:20.460,,69.5286228148657,,,0.0591823156666667,13.9196828852222,,,89.2704208610126,,,0.826925939040971,58,
12-09-2020 19:48:20.505,,,,,,,1832,,,,,,,
12-09-2020 19:48:20.575,,,,,,,,,,,46.6666666666667,,,
12-09-2020 19:48:20.621,,,,0.105882352941177,,,,,,110.588235294118,,,,
12-09-2020 19:48:20.653,,68.9044656548765,,,0.0623470822222222,13.9228476517778,,,96.6366916087326,,,1.16365542896691,59,
12-09-2020 19:48:20.698,,,,,,,1845,,,,,,,
12-09-2020 19:48:20.729,,,,,,,,,,,45.8823529411765,,,
12-09-2020 19:48:20.817,,,,0.105882352941177,,,,,,110.588235294118,,,,
12-09-2020 19:48:20.848,,68.3452691351522,,,0.0655414766111111,13.9260420461667,,,93.5640143619356,,,0.809076177726075,59,
12-09-2020 19:48:20.892,,,,,,,1859,,,,,,,
12-09-2020 19:48:20.965,,,,,,,,,,,44.3137254901961,,,
12-09-2020 19:48:21.010,,,,0.0705882352941177,,,,,,107.058823529412,,,,
12-09-2020 19:48:21.074,,67.8309528334525,,,0.0693200532777778,13.9298206228333,,,97.4779679743259,,,0.731813301488331,60,
12-09-2020 19:48:21.122,,,,,,,1880,,,,,,,
12-09-2020 19:48:21.182,,,,,,,,,,,45.4901960784314,,,
12-09-2020 19:48:21.259,,,,0.0941176470588236,,,,,,109.411764705882,,,,
12-09-2020 19:48:21.283,,67.4105221542695,,,0.0727986732777778,13.9332992428333,,,96.9744225385653,,,0.674673885245448,60,
12-09-2020 19:48:21.318,,,,,,,1899,,,,,,,
12-09-2020 19:48:21.471,,,,,,,,,,,45.8823529411765,,,
12-09-2020 19:48:21.696,,,,0,,,,,,100,,,,
12-09-2020 19:48:21.917,,66.5119932886763,,,0.0835359763055556,13.9440365458611,,,99.5946964987729,,,0.439554732111303,61,
12-09-2020 19:48:22.151,,,,,,,1729,,,,,,,
12-09-2020 19:48:22.297,,,,,,,,,,,32.5490196078431,,,
12-09-2020 19:48:22.452,,,,-0.458823529411765,,,,,,54.1176470588235,,,,
12-09-2020 19:48:22.598,,65.6599301893171,,,0.0948814279722222,13.9553819975278,,,,,,,60,
12-09-2020 19:48:22.820,,,,,,,1558,,,,,,,
12-09-2020 19:48:22.909,,,,,,,,,,,34.1176470588235,,,
12-09-2020 19:48:22.971,,,,-0.258823529411765,,,,,,74.1176470588235,,,,
12-09-2020 19:48:23.017,,65.2375509802574,,,0.101873174638889,13.9623737441944,,,,,,,60,
12-09-2020 19:48:23.066,,,,,,,1552,,,,,,,
12-09-2020 19:48:23.094,,,,,,,,,,,34.5098039215686,,,
12-09-2020 19:48:23.138,,,,-0.235294117647059,,,,,,76.4705882352941,,,,
12-09-2020 19:48:23.171,,65.0980419306681,,,0.104437247972222,13.9649378175278,,,91.0288077969283,,,0,60,
12-09-2020 19:48:23.220,,,,,,,1555,,,,,,,
12-09-2020 19:48:23.250,,,,,,,,,,,31.7647058823529,,,
12-09-2020 19:48:23.294,,,,-0.282352941176471,,,,,,71.7647058823529,,,,
12-09-2020 19:48:23.356,,64.9399014641296,,,0.107518976305556,13.9680195458611,,,89.3278731296083,,,-0.193012203181105,60,
12-09-2020 19:48:23.401,,,,,,,1552,,,,,,,
12-09-2020 19:48:23.444,,,,,,,,,,,29.8039215686275,,,
12-09-2020 19:48:23.475,,,,-0.352941176470588,,,,,,64.7058823529412,,,,
12-09-2020 19:48:23.519,,64.8078962763851,,,0.110245394638889,13.9707459641944,,,91.0288077969283,,,0,60,
12-09-2020 19:48:23.553,,,,,,,1556,,,,,,,
12-09-2020 19:48:23.598,,,,,,,,,,,30.5882352941176,,,
12-09-2020 19:48:23.628,,,,-0.388235294117647,,,,,,61.1764705882353,,,,
12-09-2020 19:48:23.670,,64.6927848608762,,,0.112750296305556,13.9732508658611,,,91.0288077969283,,,0,60,
12-09-2020 19:48:23.714,,,,,,,1554,,,,,,,
12-09-2020 19:48:23.756,,,,,,,,,,,30.1960784313725,,,
12-09-2020 19:48:23.814,,,,-0.376470588235294,,,,,,62.3529411764706,,,,
12-09-2020 19:48:23.865,,64.5507683514518,,,0.116013034638889,13.9765136041944,,,91.0288077969283,,,0,60,
12-09-2020 19:48:23.939,,,,,,,1555,,,,,,,
12-09-2020 19:48:23.984,,,,,,,,,,,29.0196078431373,,,
12-09-2020 19:48:24.012,,,,-0.435294117647059,,,,,,56.4705882352941,,,,
12-09-2020 19:48:24.056,,64.4206522007912,,,0.119187116305556,13.9796876858611,,,91.0288077969283,,,0,60,
12-09-2020 19:48:24.102,,,,,,,1552,,,,,,,
12-09-2020 19:48:24.128,,,,,,,,,,,29.0196078431373,,,
12-09-2020 19:48:24.175,,,,-0.447058823529412,,,,,,55.2941176470588,,,,
12-09-2020 19:48:24.203,,64.324877370238,,,0.121645356305556,13.9821459258611,,,91.0288077969283,,,0,60,
12-09-2020 19:48:24.275,,,,,,,1548,,,,,,,
12-09-2020 19:48:24.320,,,,,,,,,,,29.0196078431373,,,
12-09-2020 19:48:24.367,,,,-0.447058823529412,,,,,,55.2941176470588,,,,
12-09-2020 19:48:24.393,,64.2076915169811,,,0.124805392972222,13.9853059625278,,,91.0288077969283,,,0,60,
12-09-2020 19:48:24.439,,,,,,,1542,,,,,,,
12-09-2020 19:48:24.472,,,,,,,,,,,28.2352941176471,,,
12-09-2020 19:48:24.516,,,,-0.470588235294118,,,,,,52.9411764705882,,,,
12-09-2020 19:48:24.548,,64.1164698203737,,,0.127389391305556,13.9878899608611,,,91.0288077969283,,,0,60,
12-09-2020 19:48:24.600,,,,,,,1542,,,,,,,
12-09-2020 19:48:24.745,,,,,,,,,,,25.0980392156863,,,
12-09-2020 19:48:24.779,,,,-0.552941176470588,,,,,,44.7058823529412,,,,
12-09-2020 19:48:24.855,,63.9471928012661,,,0.132501356305556,13.9930019258611,,,91.0288077969283,,,0,60,
12-09-2020 19:48:24.902,,,,,,,1535,,,,,,,
12-09-2020 19:48:24.935,,,,,,,,,,,23.921568627451,,,
12-09-2020 19:48:24.979,,,,-0.623529411764706,,,,,,37.6470588235294,,,,
12-09-2020 19:48:25.011,,63.8457821323155,,,0.135059963416667,13.9955605329722,,,83.5717571275514,,,-0.344005257060818,59,
12-09-2020 19:48:25.057,,,,,,,1526,,,,,,,
12-09-2020 19:48:25.128,,,,,,,,,,,21.9607843137255,,,
12-09-2020 19:48:25.214,,,,-0.670588235294118,,,,,,32.9411764705882,,,,
12-09-2020 19:48:25.273,,63.6844120750526,,,0.139359404861111,13.9998599744167,,,83.8180358670669,,,-0.315585307928514,59,
12-09-2020 19:48:25.321,,,,,,,1514,,,,,,,
