Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
16-09-2020 22:01:21.397,,,,,,,,,0.0080268114777336,50,
16-09-2020 22:01:21.528,,,,,,,1438,,,,
16-09-2020 22:01:21.658,,,,0.08,,,,107,,,
16-09-2020 22:01:21.706,,,,,,,,,0.00903546778585194,49,
16-09-2020 22:01:21.749,,,,,,,1867,,,,
16-09-2020 22:01:21.791,,,,0.09,,,,108,,,
16-09-2020 22:01:21.835,,,,,0.00175545766666667,13.8622560272222,,,0.00903516042945063,49,
16-09-2020 22:01:21.878,,,,,,,1827,,,,
16-09-2020 22:01:21.922,,,,0.11,,,,110,,,
16-09-2020 22:01:21.965,,97.4932917433951,,,0.00353099308333333,13.8640315626389,,,0.0090351979127305,49,
16-09-2020 22:01:22.009,,,,,,,1813,,,,
16-09-2020 22:01:22.051,,,,0.12,,,,111,,,
16-09-2020 22:01:22.118,,71.3271177534927,,,0.00561090016666667,13.8661114697222,,,-0.385308525012765,49,
16-09-2020 22:01:22.161,,,,,,,1806,,,,
16-09-2020 22:01:22.205,,,,0.14,,,,113,,,
16-09-2020 22:01:22.248,,64.3231664800911,,,0.00737236577777778,13.8678729353333,,,0,49,
16-09-2020 22:01:22.298,,,,,,,1802,,,,
16-09-2020 22:01:22.342,,,,0.15,,,,114,,,
16-09-2020 22:01:22.390,,60.1394967462211,,,0.00926792577777778,13.8697684953333,,,-0.500769833464986,48,
16-09-2020 22:01:22.437,,,,,,,1795,,,,
16-09-2020 22:01:22.482,,,,0.16,,,,115,,,
16-09-2020 22:01:22.526,,57.7482065275522,,,0.0110829764444444,13.871583546,,,-0.495624979530688,48,
16-09-2020 22:01:22.571,,,,,,,1794,,,,
16-09-2020 22:01:22.616,,,,0.17,,,,116,,,
16-09-2020 22:01:22.663,,56.132458814318,,,0.0129124551111111,13.8734130246667,,,-0.509929042557842,48,
16-09-2020 22:01:22.710,,,,,,,1788,,,,
16-09-2020 22:01:22.755,,,,0.17,,,,116,,,
16-09-2020 22:01:22.803,,54.9570042800898,,,0.0147783017777778,13.8752788713333,,,-0.500187950624327,48,
16-09-2020 22:01:22.849,,,,,,,1776,,,,
16-09-2020 22:01:22.894,,,,0.18,,,,117,,,
16-09-2020 22:01:22.943,,53.9539904785971,,,0.0166009369722222,13.8771015065278,,,-0.502409202850429,47,
16-09-2020 22:01:22.990,,,,,,,1769,,,,
16-09-2020 22:01:23.205,,,,0.18,,,,117,,,
16-09-2020 22:01:23.413,,51.8815893362145,,,0.0227393576111111,13.8832399271667,,,-0.313250128335445,47,
16-09-2020 22:01:23.610,,,,,,,1735,,,,
16-09-2020 22:01:23.814,,,,0.19,,,,118,,,
16-09-2020 22:01:23.925,,50.4403921170093,,,0.0292835731666667,13.8897841427222,,,-0.440263525897115,46,
