Device time,"Ambient air temperature (℃)","Barometric pressure (kPa)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:14:40.795,,,,,,0,
18-09-2020 18:14:40.930,,,,,,0,
18-09-2020 18:14:40.974,,,,,,0,
18-09-2020 18:14:41.018,,,,,,0,
18-09-2020 18:14:41.061,,,,0,0,0,
18-09-2020 18:14:41.106,,,,0,0,0,
18-09-2020 18:14:41.240,,,17.55,,,,
18-09-2020 18:14:41.370,,100,,,,,
18-09-2020 18:14:41.495,14,,,,,,
18-09-2020 18:14:41.544,,,,0,0,0,
18-09-2020 18:14:41.588,,,,0,0,0,
18-09-2020 18:14:41.632,,,,0,0,0,
18-09-2020 18:14:41.675,,,,0,0,0,
18-09-2020 18:14:41.719,,,,0,0,0,
18-09-2020 18:14:41.762,,,,0,0,0,
18-09-2020 18:14:41.829,,,,0,0,0,
18-09-2020 18:14:41.875,,,,0,0,0,
18-09-2020 18:14:41.920,,,,0,0,0,
18-09-2020 18:14:41.966,,,,0,0,0,
18-09-2020 18:14:42.013,,,,0,0,0,
18-09-2020 18:14:42.057,,,,0,0,0,
18-09-2020 18:14:42.102,,,,0,0,0,
18-09-2020 18:14:42.148,,,,0,0,0,
18-09-2020 18:14:42.192,,,,0,0,0,
18-09-2020 18:14:42.237,,,,0,0,0,
18-09-2020 18:14:42.281,,,,0,0,0,
18-09-2020 18:14:42.323,,,,0,0,0,
18-09-2020 18:14:42.366,,,,0,0,0,
18-09-2020 18:14:42.415,,,,0,0,0,
18-09-2020 18:14:42.459,,,,0,0,0,
18-09-2020 18:14:42.501,,,,0,0,0,
18-09-2020 18:14:42.546,,,,0,0,0,
18-09-2020 18:14:42.590,,,,0,0,0,
18-09-2020 18:14:42.634,,,,0,0,0,
18-09-2020 18:14:42.679,,,,0,0,0,
18-09-2020 18:14:42.725,,,,0,0,0,
18-09-2020 18:14:42.768,,,,0,0,0,
18-09-2020 18:14:42.812,,,,0,0,0,
18-09-2020 18:14:42.860,,,,0,0,0,
18-09-2020 18:14:42.906,,,,0,0,0,
18-09-2020 18:14:42.925,,,,0,0,0,
18-09-2020 18:14:42.971,,,,0,0,0,
18-09-2020 18:14:43.114,,,,0,0,0,
18-09-2020 18:14:43.162,,,,0,0,0,
18-09-2020 18:14:43.207,,,,0,0,0,
18-09-2020 18:14:43.256,,,,0,0,0,
18-09-2020 18:14:43.305,,,,0,0,0,
18-09-2020 18:14:43.351,,,,0,0,0,
18-09-2020 18:14:43.367,,,,0,0,0,
18-09-2020 18:14:43.412,,,,0,0,0,
18-09-2020 18:14:43.459,,,,0,0,0,
18-09-2020 18:14:43.506,,,,0,0,0,
18-09-2020 18:14:43.525,,,,0,0,0,
18-09-2020 18:14:43.570,,,,0,0,0,
18-09-2020 18:14:43.617,,,,0,0,0,
18-09-2020 18:14:43.663,,,,0,0,0,
18-09-2020 18:14:43.715,,,,0,0,0,
18-09-2020 18:14:43.760,,,,0,0,0,
18-09-2020 18:14:43.806,,,,0,0,0,
18-09-2020 18:14:43.960,,,,0,0,0,
18-09-2020 18:14:44.164,,,,0,0,0,
18-09-2020 18:14:44.366,,,,0,0,0,
18-09-2020 18:14:44.570,,,,0,0,0,
18-09-2020 18:14:44.730,,,,0,0,0,
18-09-2020 18:14:44.783,,,,0,0,0,
18-09-2020 18:14:44.831,,,,0,0,0,
18-09-2020 18:14:44.882,,,,0,0,0,
18-09-2020 18:14:44.933,,,,0,0,0,
18-09-2020 18:14:44.981,,,,0,0,0,
18-09-2020 18:14:45.029,,,,0,0,0,
18-09-2020 18:14:45.075,,,,0,0,0,
18-09-2020 18:14:45.142,,,,0,0,0,
18-09-2020 18:14:45.188,,,,0,0,0,
18-09-2020 18:14:45.235,,,,0,0,0,
18-09-2020 18:14:45.283,,,,0,0,0,
18-09-2020 18:14:45.329,,,,0,0,0,
18-09-2020 18:14:45.374,,,,0,0,0,
18-09-2020 18:14:45.418,,,,0,0,0,
18-09-2020 18:14:45.462,,,,0,0,0,
18-09-2020 18:14:45.481,,,,0,0,0,
18-09-2020 18:14:45.526,,,,0,0,0,
18-09-2020 18:14:45.571,,,,0,0,0,
18-09-2020 18:14:45.619,,,,0,0,0,
18-09-2020 18:14:45.672,,,,0,0,0,
18-09-2020 18:14:45.719,,,,0,0,0,
18-09-2020 18:14:45.737,,,,0,0,0,
18-09-2020 18:14:45.756,,,,0,0,0,
18-09-2020 18:14:45.777,,,,0,0,0,
18-09-2020 18:14:45.825,,,,0,0,0,
18-09-2020 18:14:45.869,,,,0,0,0,
18-09-2020 18:14:45.916,,,,0,0,0,
18-09-2020 18:14:45.961,,,,0,0,0,
18-09-2020 18:14:46.005,,,,0,0,0,
18-09-2020 18:14:46.051,,,,0,0,0,
18-09-2020 18:14:46.069,,,,0,0,0,
18-09-2020 18:14:46.115,,,,0,0,0,
18-09-2020 18:14:46.165,,,,0,0,0,
18-09-2020 18:14:46.210,,,,0,0,0,
18-09-2020 18:14:46.256,,,,0,0,0,
18-09-2020 18:14:46.300,,,,0,0,0,
18-09-2020 18:14:46.320,,,,0,0,0,
18-09-2020 18:14:46.368,,,,0,0,0,
18-09-2020 18:14:46.418,,,,0,0,0,
18-09-2020 18:14:46.467,,,,0,0,0,
18-09-2020 18:14:46.513,,,,0,0,0,
18-09-2020 18:14:46.560,,,,0,0,0,
18-09-2020 18:14:46.605,,,,0,0,0,
18-09-2020 18:14:46.655,,,,0,0,0,
18-09-2020 18:14:46.703,,,,0,0,0,
18-09-2020 18:14:46.749,,,,0,0,0,
18-09-2020 18:14:46.794,,,,0,0,0,
18-09-2020 18:14:46.840,,,,0,0,0,
18-09-2020 18:14:46.884,,,,0,0,0,
18-09-2020 18:14:46.906,,,,0,0,0,
18-09-2020 18:14:46.952,,,,0,0,0,
18-09-2020 18:14:46.999,,,,0,0,0,
18-09-2020 18:14:47.045,,,,0,0,0,
18-09-2020 18:14:47.090,,,,0,0,0,
18-09-2020 18:14:47.135,,,,0,0,0,
18-09-2020 18:14:47.181,,,,0,0,0,
18-09-2020 18:14:47.200,,,,0,0,0,
18-09-2020 18:14:47.245,,,,0,0,0,
18-09-2020 18:14:47.290,,,,0,0,0,
18-09-2020 18:14:47.334,,,,0,0,0,
18-09-2020 18:14:47.377,,,,0,0,0,
18-09-2020 18:14:47.424,,,,0,0,0,
18-09-2020 18:14:47.472,,,,0,0,0,
18-09-2020 18:14:47.515,,,,0,0,0,
18-09-2020 18:14:47.563,,,,0,0,0,
18-09-2020 18:14:47.632,,,,0,0,0,
18-09-2020 18:14:47.683,,,,0,0,0,
18-09-2020 18:14:47.732,,,,0,0,0,
18-09-2020 18:14:47.776,,,,0,0,0,
18-09-2020 18:14:47.848,,,,0,0,0,
18-09-2020 18:14:47.893,,,,0,0,0,
18-09-2020 18:14:48.047,,,,0,0,0,
18-09-2020 18:14:48.249,,,,0,0,0,
18-09-2020 18:14:48.451,,,,0,0,0,
18-09-2020 18:14:48.653,,,,0,0,0,
18-09-2020 18:14:48.821,,,,0,0,0,
18-09-2020 18:14:48.873,,,,0,0,0,
18-09-2020 18:14:48.925,,,,0,0,0,
18-09-2020 18:14:48.972,,,,0,0,0,
18-09-2020 18:14:49.019,,,,0,0,0,
18-09-2020 18:14:49.037,,,,0,0,0,
18-09-2020 18:14:49.055,,,,0,0,0,
18-09-2020 18:14:49.103,,,,0,0,0,
18-09-2020 18:14:49.150,,,,0,0,0,
18-09-2020 18:14:49.172,,,,0,0,0,
18-09-2020 18:14:49.221,,,,0,0,0,
18-09-2020 18:14:49.268,,,,0,0,0,
18-09-2020 18:14:49.287,,,,0,0,0,
18-09-2020 18:14:49.307,,,,0,0,0,
18-09-2020 18:14:49.354,,,,0,0,0,
