Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:17:51.051,,,,,,,,,,,,10,
18-09-2020 18:17:51.186,,,,,,,1177,,,,,,
18-09-2020 18:17:51.318,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:51.449,,,,,,,,,,,,10,
18-09-2020 18:17:51.582,,,,,,,1131,,,,,,
18-09-2020 18:17:51.709,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:51.841,,,100,,,,,,,,,,
18-09-2020 18:17:51.890,,,,,0.00110146025,13.8616020298056,,,,,,9,
18-09-2020 18:17:51.939,,,,,,,1069,,,,,,
18-09-2020 18:17:51.993,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:52.037,,36.1494086752234,,,0.0014694825,13.8619700520556,,,0.307222230007158,,0,9,
18-09-2020 18:17:52.083,,,,,,,1094,,,,,,
18-09-2020 18:17:52.102,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:52.120,,26.3219663725958,,,0.00167704925,13.8621776188056,,,-0.0333810189470526,,-0.259834977350809,9,
18-09-2020 18:17:52.138,,,,,,,1093,,,,,,
18-09-2020 18:17:52.181,,,,-0.717647058823529,,,,,,28.2352941176471,,,
18-09-2020 18:17:52.225,,20.8890098811692,,,0.00193908675,13.8624396563056,,,-0.16205682039803,,-0.357997499459066,9,
18-09-2020 18:17:52.272,,,,,,,1092,,,,,,
18-09-2020 18:17:52.341,,,,-0.694117647058824,,,,,,30.5882352941176,,,
18-09-2020 18:17:52.385,,17.0431131915621,,,0.00233857125,13.8628391408056,,,0.307222230007158,,0,9,
18-09-2020 18:17:52.430,,,,,,,1061,,,,,,
18-09-2020 18:17:52.476,,,,-0.658823529411765,,,,,,34.1176470588235,,,
18-09-2020 18:17:52.495,,15.5807136535843,,,0.002612977,13.8631135465556,,,0.307222230007158,,0,9,
18-09-2020 18:17:52.541,,,,,,,1058,,,,,,
18-09-2020 18:17:52.588,,,,-0.623529411764706,,,,,,37.6470588235294,,,
18-09-2020 18:17:52.631,,14.367206940433,,,0.002954225,13.8634547945556,,,0.307222230007158,,0,9,
18-09-2020 18:17:52.676,,,,,,,1094,,,,,,
18-09-2020 18:17:52.723,,,,-0.576470588235294,,,,,,42.3529411764706,,,
18-09-2020 18:17:52.769,,13.524714729301,,,0.00329878875,13.8637993583056,,,0.307222230007158,,0,9,
18-09-2020 18:17:52.814,,,,,,,1110,,,,,,
