Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:29:49.427,,,,,,,,0,,0.00588572365356658,0,
18-09-2020 18:29:49.557,,,,,,,768,,,,,
18-09-2020 18:29:49.685,,,,0.05,,,,,105,,,
18-09-2020 18:29:49.815,,,,,0,16.3745286021389,,0,,0.00588901558218636,0,
18-09-2020 18:29:49.945,,,,,,,770,,,,,
18-09-2020 18:29:50.152,,,,0.05,,,,,105,,,
18-09-2020 18:29:50.355,,0,,,0,16.3745286021389,,0,,0.00589458755153683,0,
18-09-2020 18:29:50.558,,,,,,,767,,,,,
18-09-2020 18:29:50.760,,,,0.05,,,,,105,,,
18-09-2020 18:29:50.840,,0,,,0,16.3745286021389,,0,,0.00589950282086285,0,
18-09-2020 18:29:50.891,,,,,,,769,,,,,
18-09-2020 18:29:50.939,,,,0.05,,,,,105,,,
18-09-2020 18:29:50.988,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:51.059,,,,,,,768,,,,,
18-09-2020 18:29:51.108,,,,0.05,,,,,105,,,
18-09-2020 18:29:51.157,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:51.206,,,,,,,766,,,,,
18-09-2020 18:29:51.261,,,,0.05,,,,,105,,,
18-09-2020 18:29:51.306,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:51.355,,,,,,,770,,,,,
18-09-2020 18:29:51.407,,,,0.05,,,,,105,,,
18-09-2020 18:29:51.562,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:51.613,,,,,,,769,,,,,
18-09-2020 18:29:51.662,,,,0.04,,,,,104,,,
18-09-2020 18:29:51.725,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:51.773,,,,,,,767,,,,,
18-09-2020 18:29:51.820,,,,0.04,,,,,104,,,
18-09-2020 18:29:51.866,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:51.915,,,,,,,770,,,,,
18-09-2020 18:29:51.984,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.034,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.084,,,,,,,770,,,,,
18-09-2020 18:29:52.131,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.182,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.234,,,,,,,770,,,,,
18-09-2020 18:29:52.283,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.333,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.380,,,,,,,770,,,,,
18-09-2020 18:29:52.429,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.478,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.528,,,,,,,769,,,,,
18-09-2020 18:29:52.579,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.624,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.673,,,,,,,770,,,,,
18-09-2020 18:29:52.721,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.770,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.816,,,,,,,853,,,,,
18-09-2020 18:29:52.864,,,,0.04,,,,,104,,,
18-09-2020 18:29:52.909,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:52.955,,,,,,,1090,,,,,
18-09-2020 18:29:53.008,,,,0.04,,,,,104,,,
18-09-2020 18:29:53.058,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:53.106,,,,,,,1202,,,,,
18-09-2020 18:29:53.157,,,,0.05,,,,,105,,,
18-09-2020 18:29:53.208,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:53.259,,,,,,,1314,,,,,
18-09-2020 18:29:53.322,,,,0.06,,,,,106,,,
18-09-2020 18:29:53.369,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:53.416,,,,,,,1369,,,,,
18-09-2020 18:29:53.464,,,,0.07,,,,,107,,,
18-09-2020 18:29:53.509,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:53.558,,,,,,,1361,,,,,
18-09-2020 18:29:53.607,,,,0.09,,,,,109,,,
18-09-2020 18:29:53.656,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:53.703,,,,,,,1328,,,,,
18-09-2020 18:29:53.751,,,,0.11,,,,,111,,,
18-09-2020 18:29:53.800,,0,,,0,16.3745286021389,,0,,0,0,
18-09-2020 18:29:53.845,,,,,,,1280,,,,,
18-09-2020 18:29:53.893,,,,0.13,,,,,113,,,
18-09-2020 18:29:53.943,,0.0350283479804176,,,4.01758055555556E-05,16.3745687779444,,0.0688676604446161,,0.484411661788351,1,
18-09-2020 18:29:53.992,,,,,,,1231,,,,,
18-09-2020 18:29:54.039,,,,0.14,,,,,114,,,
18-09-2020 18:29:54.254,,0.102426014088757,,,0.000126299,16.3746549011389,,0.0530698191792757,,0.372606256312416,1,
18-09-2020 18:29:54.461,,,,,,,1198,,,,,
18-09-2020 18:29:54.669,,,,0.18,,,,,118,,,
18-09-2020 18:29:54.875,,0.825813347082756,,,0.0011606585,16.3756892606389,,1.25001596096531,,1.36707526632472,6,
18-09-2020 18:29:54.986,,,,,,,1180,,,,,
18-09-2020 18:29:55.034,,,,0.19,,,,,119,,,
18-09-2020 18:29:55.084,,1.10961505691609,,,0.00162376138888889,16.3761523635278,,2.17207473360319,,1.73065751183456,8,
18-09-2020 18:29:55.129,,,,,,,1185,,,,,
18-09-2020 18:29:55.174,,,,0.2,,,,,120,,,
18-09-2020 18:29:55.219,,1.3325991083445,,,0.00200023555555556,16.3765288376944,,3.188988544191,,1.95867294110568,10,
18-09-2020 18:29:55.264,,,,,,,1194,,,,,
18-09-2020 18:29:55.309,,,,0.2,,,,,120,,,
18-09-2020 18:29:55.357,,1.54842058189576,,,0.00238353722222222,16.3769121393611,,3.62462943869973,,2.26698726098247,10,
18-09-2020 18:29:55.401,,,,,,,1279,,,,,
18-09-2020 18:29:55.450,,,,0.21,,,,,121,,,
18-09-2020 18:29:55.493,,1.77458663596232,,,0.00279865094444444,16.3773272530833,,4.05263859295654,,2.24652494940287,11,
18-09-2020 18:29:55.562,,,,,,,1376,,,,,
18-09-2020 18:29:55.608,,,,0.21,,,,,121,,,
18-09-2020 18:29:55.651,,2.05152121419525,,,0.00332546061111111,16.37785406275,,4.04941183341014,,1.95873823880521,12,
18-09-2020 18:29:55.695,,,,,,,1447,,,,,
18-09-2020 18:29:55.739,,,,0.22,,,,,122,,,
18-09-2020 18:29:55.785,,2.27488666484977,,,0.00377222294444444,16.3783008250833,,2.39287463304927,,0.981759748191977,12,
18-09-2020 18:29:55.830,,,,,,,1523,,,,,
18-09-2020 18:29:55.879,,,,0.23,,,,,123,,,
