Device time,"Average speed (km/h)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
19-09-2020 18:12:33.685,,,,,943,,,,
19-09-2020 18:12:33.838,,,,,,,1.17062872720098,17,
19-09-2020 18:12:33.963,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:34.093,,,,,927,,,,
19-09-2020 18:12:34.242,,,0.00191364891666667,0.00191364891666667,,,1.17125455327204,17,
19-09-2020 18:12:34.370,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:34.414,,,,,917,,,,
19-09-2020 18:12:34.461,47.5016300179275,,0.00288665558333333,0.00288665558333333,,,1.17412153332952,16,
19-09-2020 18:12:34.506,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:34.523,,,,,915,,,,
19-09-2020 18:12:34.566,37.3656878297611,,0.00334799780555556,0.00334799780555556,,,1.14520811129279,16,
19-09-2020 18:12:34.611,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:34.656,,,,,910,,,,
19-09-2020 18:12:34.674,31.732167503737,,0.00380051322222222,0.00380051322222222,,,-0.663895143445035,15,
19-09-2020 18:12:34.718,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:34.765,,,,,907,,,,
19-09-2020 18:12:34.809,27.7407445540722,,0.00436330780555556,0.00436330780555556,,,-0.979217038815165,15,
19-09-2020 18:12:35.017,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:35.219,,,,,905,,,,
19-09-2020 18:12:35.422,20.0736007596133,,0.00657950627777778,0.00657950627777778,,,-0.86684062424314,13,
19-09-2020 18:12:35.624,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:35.705,,,,,893,,,,
19-09-2020 18:12:35.749,18.3274426622962,,0.00766506394444444,0.00766506394444444,,,-0.939221069779185,12,
19-09-2020 18:12:35.793,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:35.812,,,,,890,,,,
19-09-2020 18:12:35.891,17.780938504703,,0.00813956194444444,0.00813956194444444,,,-0.684745481200231,12,
19-09-2020 18:12:35.937,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:35.981,,,,,888,,,,
19-09-2020 18:12:36.050,17.1841292284841,,0.00862548297222222,0.00862548297222222,,,-0.895419072736064,11,
19-09-2020 18:12:36.092,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:36.135,,,,,884,,,,
19-09-2020 18:12:36.180,16.7666811143616,,0.00902510716666667,0.00902510716666667,,,-0.733309673830017,11,
19-09-2020 18:12:36.228,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:36.276,,,,,884,,,,
19-09-2020 18:12:36.325,16.3643461577752,,0.00946916708333333,0.00946916708333333,,,-0.482033744328801,11,
19-09-2020 18:12:36.370,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:36.418,,,,,882,,,,
19-09-2020 18:12:36.467,16.0252963090212,,0.00989870088888889,0.00989870088888889,,,-0.482614041504962,11,
19-09-2020 18:12:36.511,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:36.560,,,,,877,,,,
19-09-2020 18:12:36.605,15.6714475900322,,0.0102840553333333,0.0102840553333333,,,-0.500316510230702,10,
19-09-2020 18:12:36.623,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:36.692,,,,,880,,,,
19-09-2020 18:12:36.711,15.4704361650312,,0.0106085696944444,0.0106085696944444,,,,11,
19-09-2020 18:12:36.754,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:36.799,,,,,878,,,,
19-09-2020 18:12:36.850,15.2311270514933,,0.0110351478611111,0.0110351478611111,,,,11,
19-09-2020 18:12:36.899,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:36.950,,,,,875,,,,
19-09-2020 18:12:36.998,15.0041071337929,,0.0114870248055556,0.0114870248055556,,,,11,
19-09-2020 18:12:37.068,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:37.116,,,,,898,,,,
19-09-2020 18:12:37.167,14.7153114079346,,0.0119559186944444,0.0119559186944444,,,0,10,
19-09-2020 18:12:37.219,,-0.0520735294117647,,,,96.1176470588235,,,
19-09-2020 18:12:37.269,,,,,1004,,,,
19-09-2020 18:12:37.337,14.4564392615707,,0.0124278550833333,0.0124278550833333,,,-0.443790403898795,10,
19-09-2020 18:12:37.386,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:37.438,,,,,1115,,,,
19-09-2020 18:12:37.486,14.2052145284674,,0.0128013163333333,0.0128013163333333,,,-0.872672401625342,9,
19-09-2020 18:12:37.536,,-0.0520735294117647,,,,96.1176470588235,,,
19-09-2020 18:12:37.606,,,,,1190,,,,
19-09-2020 18:12:37.652,13.9511033608859,,0.0132175500833333,0.0132175500833333,,,-0.848855634799625,9,
19-09-2020 18:12:37.702,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:37.729,,,,,1168,,,,
19-09-2020 18:12:37.777,13.7779895509276,,0.0135264838333333,0.0135264838333333,,,-0.455511553139522,9,
19-09-2020 18:12:37.823,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:37.895,,,,,1079,,,,
19-09-2020 18:12:37.941,13.6092214117927,,0.0139854910555556,0.0139854910555556,,,,10,
19-09-2020 18:12:37.980,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:38.031,,,,,1091,,,,
19-09-2020 18:12:38.076,13.4825322191529,,0.0143593638333333,0.0143593638333333,,,0.471154054730122,10,
19-09-2020 18:12:38.124,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:38.175,,,,,1153,,,,
19-09-2020 18:12:38.225,13.3150217015034,,0.0147314918333333,0.0147314918333333,,,,9,
19-09-2020 18:12:38.272,,-0.0352107843137256,,,,97.8039215686274,,,
19-09-2020 18:12:38.319,,,,,1254,,,,
19-09-2020 18:12:38.366,13.2016208258798,,0.0151233576666667,0.0151233576666667,,,,10,
19-09-2020 18:12:38.416,,-0.0183480392156864,,,,99.4901960784314,,,
19-09-2020 18:12:38.461,,,,,1276,,,,
19-09-2020 18:12:38.506,13.129447978631,,0.0155504204444444,0.0155504204444444,,,,11,
19-09-2020 18:12:38.553,,0.0153774509803921,,,,102.862745098039,,,
19-09-2020 18:12:38.598,,,,,1277,,,,
19-09-2020 18:12:38.641,13.0646051720702,,0.015959607,0.015959607,,,,11,
19-09-2020 18:12:38.685,,0.0491029411764706,,,,106.235294117647,,,
19-09-2020 18:12:38.707,,,,,1382,,,,
19-09-2020 18:12:38.752,13.038398790208,,0.0163294206666667,0.0163294206666667,,,1.58271292569359,12,
19-09-2020 18:12:38.798,,0.0322401960784313,,,,104.549019607843,,,
19-09-2020 18:12:38.868,,,,,1467,,,,
19-09-2020 18:12:39.018,12.9803664504305,,0.017218777,0.017218777,,,0.85206221465182,12,
19-09-2020 18:12:39.223,,0.0996911764705882,,,,111.294117647059,,,
19-09-2020 18:12:39.425,,,,,1680,,,,
19-09-2020 18:12:39.630,13.2103391299678,,0.0197758211666667,0.0197758211666667,,,0.988827905894277,15,
19-09-2020 18:12:39.798,,0.184004901960784,,,,119.725490196078,,,
19-09-2020 18:12:39.847,,,,,1484,,,,
19-09-2020 18:12:39.891,13.2924710657808,,0.0208554986666667,0.0208554986666667,,,0.888476848865459,15,
19-09-2020 18:12:39.937,,0.150279411764706,,,,116.352941176471,,,
19-09-2020 18:12:39.983,,,,,1384,,,,
19-09-2020 18:12:40.028,13.3326532085941,,0.0214227186666667,0.0214227186666667,,,0.653160765124016,15,
19-09-2020 18:12:40.073,,0.133416666666667,,,,114.666666666667,,,
19-09-2020 18:12:40.118,,,,,1277,,,,
19-09-2020 18:12:40.161,13.3703300607274,,0.0219799628333333,0.0219799628333333,,,0.729134347786701,15,
19-09-2020 18:12:40.205,,0.116553921568627,,,,112.980392156863,,,
19-09-2020 18:12:40.250,,,,,1190,,,,
19-09-2020 18:12:40.294,13.3841476675978,,0.0224963847222222,0.0224963847222222,,,-0.418151417813468,14,
19-09-2020 18:12:40.340,,0.082828431372549,,,,109.607843137255,,,
19-09-2020 18:12:40.385,,,,,1051,,,,
19-09-2020 18:12:40.431,13.4198523173345,,0.0230661159722222,0.0230661159722222,,,,15,
19-09-2020 18:12:40.477,,0.0659656862745098,,,,107.921568627451,,,
19-09-2020 18:12:40.535,,,,,848,,,,
19-09-2020 18:12:40.578,13.4565270023624,,0.0236788476388889,0.0236788476388889,,,,15,
19-09-2020 18:12:40.625,,0.0659656862745098,,,,107.921568627451,,,
19-09-2020 18:12:40.673,,,,,975,,,,
19-09-2020 18:12:40.717,13.4896672973361,,0.0242580055555556,0.0242580055555556,,,,15,
19-09-2020 18:12:40.765,,0.082828431372549,,,,109.607843137255,,,
19-09-2020 18:12:40.834,,,,,938,,,,
19-09-2020 18:12:40.877,13.5501792954066,,0.0249686944444444,0.0249686944444444,,,0.953504125755142,16,
19-09-2020 18:12:40.922,,0.082828431372549,,,,109.607843137255,,,
