Device time,"Average speed (km/h)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Intake manifold absolute pressure (kPa)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
26-09-2020 16:07:24.497,,,,,848,,,,
26-09-2020 16:07:24.703,,,,,,,0,0,
26-09-2020 16:07:24.907,,-0.05325,,,,96,,,
26-09-2020 16:07:25.108,,,,,847,,,,
26-09-2020 16:07:25.346,,,0,0,,,0,0,
26-09-2020 16:07:25.477,,-0.05325,,,,96,,,
26-09-2020 16:07:25.611,,,,,850,,,,
26-09-2020 16:07:25.737,0,,0,0,,,0,0,
26-09-2020 16:07:25.869,,-0.05325,,,,96,,,
26-09-2020 16:07:25.999,,,,,849,,,,
26-09-2020 16:07:26.128,0,,0,0,,,0,0,
26-09-2020 16:07:26.258,,-0.05325,,,,96,,,
26-09-2020 16:07:26.405,,,,,850,,,,
26-09-2020 16:07:26.534,0,,0,0,,,0,0,
26-09-2020 16:07:26.688,,-0.05325,,,,96,,,
26-09-2020 16:07:26.822,,,,,851,,,,
26-09-2020 16:07:26.947,0,,0,0,,,0,0,
26-09-2020 16:07:27.078,,-0.05325,,,,96,,,
26-09-2020 16:07:27.210,,,,,849,,,,
26-09-2020 16:07:27.336,0,,0,0,,,0,0,
26-09-2020 16:07:27.466,,-0.05325,,,,96,,,
26-09-2020 16:07:27.595,,,,,853,,,,
26-09-2020 16:07:27.737,0,,0,0,,,0,0,
26-09-2020 16:07:27.869,,-0.05325,,,,96,,,
26-09-2020 16:07:27.997,,,,,849,,,,
26-09-2020 16:07:28.127,0,,0,0,,,0,0,
26-09-2020 16:07:28.256,,-0.05325,,,,96,,,
26-09-2020 16:07:28.389,,,,,850,,,,
26-09-2020 16:07:28.519,0,,0,0,,,0,0,
26-09-2020 16:07:28.739,,-0.05325,,,,96,,,
26-09-2020 16:07:29.009,,,,,850,,,,
26-09-2020 16:07:29.279,0,,0,0,,,0,0,
26-09-2020 16:07:29.472,,-0.05325,,,,96,,,
26-09-2020 16:07:29.607,,,,,848,,,,
26-09-2020 16:07:29.738,0,,0,0,,,0,0,
26-09-2020 16:07:29.868,,-0.05325,,,,96,,,
26-09-2020 16:07:29.996,,,,,849,,,,
26-09-2020 16:07:30.130,0,,0,0,,,0,0,
26-09-2020 16:07:30.269,,-0.05325,,,,96,,,
26-09-2020 16:07:30.403,,,,,850,,,,
26-09-2020 16:07:30.536,0,,0,0,,,0,0,
26-09-2020 16:07:30.670,,-0.05325,,,,96,,,
26-09-2020 16:07:30.805,,,,,849,,,,
26-09-2020 16:07:30.935,0,,0,0,,,0,0,
26-09-2020 16:07:31.065,,-0.05325,,,,96,,,
26-09-2020 16:07:31.199,,,,,851,,,,
26-09-2020 16:07:31.331,0,,0,0,,,0,0,
26-09-2020 16:07:31.462,,-0.05325,,,,96,,,
26-09-2020 16:07:31.610,,,,,850,,,,
26-09-2020 16:07:31.737,0,,0,0,,,0,0,
26-09-2020 16:07:31.870,,-0.05325,,,,96,,,
26-09-2020 16:07:32.000,,,,,845,,,,
26-09-2020 16:07:32.132,0,,0,0,,,0,0,
26-09-2020 16:07:32.260,,-0.05325,,,,96,,,
26-09-2020 16:07:32.396,,,,,848,,,,
26-09-2020 16:07:32.528,0,,0,0,,,0,0,
26-09-2020 16:07:32.704,,-0.05325,,,,96,,,
26-09-2020 16:07:32.974,,,,,847,,,,
26-09-2020 16:07:33.177,0,,0,0,,,0,0,
26-09-2020 16:07:33.379,,-0.05325,,,,96,,,
26-09-2020 16:07:33.566,,,,,853,,,,
26-09-2020 16:07:33.697,0,,0,0,,,0,0,
26-09-2020 16:07:33.827,,-0.05325,,,,96,,,
26-09-2020 16:07:33.958,,,,,851,,,,
26-09-2020 16:07:34.110,0,,0,0,,,0,0,
