°	400	600	700	750	830	900	1000	1200	1400	1600	1800	2000	2200	2400	2500	2600	2800	3000	3200	3400	3600	3800	3900	4000	4100	4200	4400	4800	5200	5600	6000	6500	7000	rpm
0.1	18	19.5	21	22.5	25.5	28	31.5	32.5	34.5	36	39	41.5	42	43	43	43.5	42.5	43	42	41	41	42	42	42	41.5	40.5	39.5	37	36	35.5	35	34	33.5
0.14	17.5	19	20.5	22	25	26	29	31	33.5	35.5	37.5	38	39	39.5	38.5	37.5	38	38	38	38.5	39	38.5	39	39	39	38.5	37.5	36	34.5	33	32	31.5	31
0.18	13	15	19.5	20	20.5	21.5	22.5	27.5	30	31	34	34	34	35	34	33	33	33.5	33	34	34.5	33.5	34	34.5	34.5	34.5	35	34	32.5	31.5	30	29	29
0.2	9.5	12	14.5	16	18.5	19.5	20.5	25.5	28.5	29	31.5	32	32	32.5	31.5	31.5	31	31.5	31	32	32	32	32	32.5	32.5	33	33.5	32	31	29.5	28	27	27
0.22	7.5	10	12.5	13	14.5	17.5	18.5	22.5	25.5	26.5	28.5	29	29	29	29	28.5	28.5	28.5	28.5	29	29.5	29.5	29.5	29.5	29.5	30	30.5	30	29	28	26.5	26	26
0.24	5.5	8	10	10.5	12.5	15.5	16.5	18	22.5	24.5	25.5	26	26	26.5	26	25.5	25.5	26	26	26	26.5	26.5	27	27	27	27	27	28	27	26	24.5	24.5	25.5
0.26	4	6	8	8.5	10.5	13	14	16	20.5	22	24	24.5	24.5	25	24.5	24.5	24	24.5	24.5	24.5	25.5	25.5	25.5	25.5	25.5	25.5	25.5	26.5	25	24	23	23.5	24.5
0.28	2.5	4.5	6.5	7.5	9	12	13.5	16	19.5	20	23	24	24	24.5	24.5	24.5	24	24.5	24.5	24.5	25	25	25	25	25.5	25.5	25.5	26	24.5	23.5	23	23	24.5
0.3	0.5	3	4	5.5	6.5	7.5	9	11	17	18	21	22	22.5	23	23	23.5	23.5	23.5	23.5	23.5	23.5	24	24	24	24.5	24.5	24.5	25	23.5	22.5	22	22.5	23.5
0.32	-1	1.5	2.5	3	4	5	6	8.5	15	16	19.5	20	21	21.5	22	22.5	22.5	23	23	23	23	23.5	23.5	23.5	23.5	23.5	23	23.5	22.5	21.5	21	21.5	23
0.34	-2	-0.5	0.5	1	1.5	2	3	6	12.5	14.5	17.5	18	19	20	21	21.5	22	22.5	22.5	22.5	22.5	22.5	22.5	23	22.5	22.5	22	22.5	21.5	21	20.5	21	22
0.36	-3	-1.5	-1	-0.5	0	0.5	1.5	5	11	13	15.5	16	18	19	19.5	20	21	22	22	22	22	22	22	22	22	21.5	21.5	21.5	21	20	20	21	21
0.38	-4	-2.5	-2	-1.5	-1	-0.5	0	4	9.5	11.5	13.5	14.5	17	18	18.5	19	20	21	21.5	21.5	21	21.5	21.5	21.5	21.5	21	20.5	20.5	20	19.5	20	20.5	20.5
0.4	-4.5	-3	-2.5	-2	-1.5	-1	-0.5	3.5	7.5	10.5	13	13.5	16.5	17.5	18	18.5	19.5	20.5	21	21	21	21.5	21.5	21.5	21.5	21	20.5	19	19.5	19	19.5	20	20
0.42	-5.5	-4	-3.5	-3	-2.5	-2	-1	2.5	6	9	12	12	15.5	16.5	17	17	18	19.5	19.5	20	20	20.5	21	21	21	20.5	20	18.5	18.5	18.5	19	19.5	19.5
0.44	-6.5	-4.5	-4	-3.5	-2.5	-2	-1	1.5	5	7.5	10.5	11.5	14	15.5	15.5	16	16	17.5	18	18.5	18.5	19	19.5	20	19.5	19.5	19	18	17.5	17.5	18	18.5	18.5
0.46	-7	-5	-4	-3.5	-2.5	-2	-1	1.5	5	7.5	9.5	11.5	13	15	15.5	15.5	16	17	17.5	18	18.5	18.5	19	19.5	19	19	18.5	17.5	16.5	17	17	17.5	17.5
0.48	-8	-6	-5	-4	-3.5	-2.5	-1.5	1	4	7	8.5	11	12	13.5	14	14.5	15.5	16	16.5	17	18	18	18	18.5	18	17.5	18	16.5	15.5	15.5	16.5	16	15
0.5	-8.5	-6	-5	-4.5	-3.5	-2.5	-1.5	1	4	6.5	8.5	10.5	11	13	13.5	14.5	15	15.5	16.5	17	17.5	17.5	17.5	17	16.5	17	17	16	15	15	15.5	15	14
0.52	-9.5	-7	-6	-5	-4	-3.5	-2	0.5	3.5	6	8	9	9.5	11.5	12.5	13.5	14	13.5	14.5	15.5	16	15.5	16	17	16.5	16.5	16.5	15.5	14.5	14.5	14.5	13.5	13
0.54	-10.5	-8	-6.5	-6	-5	-4	-2.5	0	3	5.5	7	8	8.5	10.5	11.5	12	13	12.5	13.5	14.5	14.5	14.5	15	15.5	14.5	14.5	14.5	13.5	12.5	13.5	13.5	13	13
