Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
05-09-2020 19:16:29.943,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:30.160,,,,0.0335294117647059,,,,,,102.352941176471,,,,
05-09-2020 19:16:30.429,,18.7526292085568,,,0.0637950219722222,13.9242955915278,,,7.1690059110755,,,0.617002094919553,23,
05-09-2020 19:16:30.702,,,,,,,1610,,,,,,,
05-09-2020 19:16:30.954,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:31.157,,,,0.268823529411765,,,,,,125.882352941176,,,,
05-09-2020 19:16:31.359,,19.5459285214616,,,0.0715395703055555,13.9320401398611,,,16.3192027689233,,,1.14480053007012,30,
05-09-2020 19:16:31.632,,,,,,,2080,,,,,,,
05-09-2020 19:16:31.812,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:31.944,,,,0.633529411764706,,,,,,162.352941176471,,,,
05-09-2020 19:16:32.077,,20.4995880575712,,,0.0791187061944444,13.93961927575,,,32.918871062025,,,1.79166090930578,38,
05-09-2020 19:16:32.208,,,,,,,2554,,,,,,,
05-09-2020 19:16:32.339,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:32.474,,,,0.798235294117647,,,,,,178.823529411765,,,,
05-09-2020 19:16:32.604,,21.3593841970225,,,0.0855678106388889,13.9460683801944,,,50.23355753964,,,2.26464890978103,44,
05-09-2020 19:16:32.739,,,,,,,2945,,,,,,,
05-09-2020 19:16:32.866,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:32.998,,,,1.05705882352941,,,,,,204.705882352941,,,,
05-09-2020 19:16:33.127,,22.396844153581,,,0.0929783160555556,13.9534788856111,,,77.0523959306586,,,2.88268806214219,51,
05-09-2020 19:16:33.283,,,,,,,3406,,,,,,,
05-09-2020 19:16:33.416,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:33.544,,,,1.21,,,,,,220,,,,
05-09-2020 19:16:33.676,,23.6922950968652,,,0.101965017416667,13.9624655869722,,,116.061762094019,,,3.4767470886703,59,
05-09-2020 19:16:33.810,,,,,,,3874,,,,,,,
05-09-2020 19:16:33.944,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:34.076,,,,1.23352941176471,,,,,,222.352941176471,,,,
05-09-2020 19:16:34.208,,25.0986192875805,,,0.11173140775,13.9722319773056,,,155.800556046887,,,3.64855064843736,66,
05-09-2020 19:16:34.345,,,,,,,4388,,,,,,,
05-09-2020 19:16:34.480,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:34.612,,,,1.25705882352941,,,,,,224.705882352941,,,,
05-09-2020 19:16:34.766,,26.7087236130705,,,0.123034717611111,13.9835352871667,,,203.078457463254,,,3.72662251785801,73,
05-09-2020 19:16:34.895,,,,,,,4796,,,,,,,
05-09-2020 19:16:35.114,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:35.385,,,,1.24529411764706,,,,,,223.529411764706,,,,
05-09-2020 19:16:35.587,,29.364671855249,,,0.141967921388889,14.0024684909444,,,284.119885137664,,,3.61403923958464,83,
05-09-2020 19:16:35.778,,,,,,,5443,,,,,,,
05-09-2020 19:16:35.909,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:36.049,,,,1.11588235294118,,,,,,210.588235294118,,,,
05-09-2020 19:16:36.181,,31.3973259698025,,,0.156971680361111,14.0174722499167,,,364.031412978504,,,3.54858471573996,91,
05-09-2020 19:16:36.314,,,,,,,5801,,,,,,,
05-09-2020 19:16:36.443,,,,,,,,,,,83.921568627451,,,
05-09-2020 19:16:36.574,,,,0.986470588235294,,,,,,197.647058823529,,,,
05-09-2020 19:16:36.703,,33.2187328836079,,,0.170895992361111,14.0313965619167,,,418.990299788498,,,3.34074082477893,96,
05-09-2020 19:16:36.841,,,,,,,6132,,,,,,,
05-09-2020 19:16:36.976,,,,,,,,,,,25.8823529411765,,,
05-09-2020 19:16:37.106,,,,-0.213529411764706,,,,,,77.6470588235294,,,,
05-09-2020 19:16:37.237,,35.1766936308326,,,0.18619321475,14.0466937843056,,,510.464397225118,,,3.37154384894394,103,
