Device time,"Ambient air temperature (℃)","Average fuel consumption (L/100km)","Average fuel consumption (total) (L/100km)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Calculated instant fuel consumption (L/100km)","Calculated instant fuel rate (L/h)","Control module voltage (V)","Distance travelled (km)","Distance travelled (total) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Fuel used (L)","Fuel used (total) (L)","Fuel used price (HRK)","Fuel used price (total) (HRK)","Instant engine power (based on acceleration) (kW)","Instant engine power (based on fuel consumption) (kW)","Instant engine torque (based on fuel consumption) (N⋅m)","Intake manifold absolute pressure (kPa)","MAF air flow rate (g/sec)","OBD Module Voltage (V)","Oxygen sensor 1 Wide Range Current (mA) (mA)","Oxygen sensor 1 Wide Range Equivalence ratio ()","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
18-09-2020 18:22:36.056,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,
18-09-2020 18:24:12.366,,,,,,,,,,,,,772,,,,,,,,,,,,,,,
18-09-2020 18:24:12.497,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
18-09-2020 18:24:12.633,,,,,,,,,,,,94,,,,,,,,,,,,,,,,
18-09-2020 18:24:12.768,,,,,,,,,,,,,768,,,,,,,,,,,,,,,
18-09-2020 18:24:12.896,,,,,,,,,,0,13.8605005695556,,,,,,,,,,,,,,,,0,
18-09-2020 18:24:12.945,,,,,,,,,,,,,767,,,,,,,,,,,,,,,
18-09-2020 18:24:12.991,,,,0,,,,,,0,13.8605005695556,,,,,,,,,,,,,,,,0,
18-09-2020 18:24:13.120,,,,,,,,,,,,94,,,,,,,,,,,,,,,,
18-09-2020 18:24:13.165,,,,,,,,,,,,,768,,,,,,,,,,,,,,,
18-09-2020 18:24:13.210,,,,0,,,,,,0,13.8605005695556,,,,,,,,,,,,,,,,0,
18-09-2020 18:24:13.255,,,,,,,,,,,,,768,,,,,,,,,,,,,,,
18-09-2020 18:24:13.307,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:13.351,,,,,,,,,,,,94,,,,,,,,,,,,,,,,
18-09-2020 18:24:13.394,,,,,,,,,,,,,770,,,,,,,,,,,,,,,
18-09-2020 18:24:13.663,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,
18-09-2020 18:24:13.786,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,
18-09-2020 18:24:14.168,,,,,,,,,,,,,,,,,,,,,,,,1.84375,4.55622186617838,,,
18-09-2020 18:24:14.297,,,,,,,,2.94213027676824,,,,,,,,,,,6.22653728517857,56.7949958705842,,8.77,,,,,,
18-09-2020 18:24:14.686,,,,,,,,,,,,,,,,,,,,,,,14.4,,,,,
18-09-2020 18:24:14.904,,,,,,,,,,,,,770,,,,,,,,,,,,,,,
18-09-2020 18:24:15.121,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:15.324,,,,,,,,,,,,94,,,,,,,,,,,,,,,,
18-09-2020 18:24:15.527,,,,,,,,,,,,,769,,,,,,,,,,,,,,,
18-09-2020 18:24:15.727,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:15.926,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,
18-09-2020 18:24:16.052,,,,,,,,,14.48,,,,,,,,,,,,,,,,,,,
18-09-2020 18:24:16.304,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.55622186617838,,,
18-09-2020 18:24:16.431,,,16.1411641731326,,,,,2.77439194856025,,,,,,0.00164459434889572,2.23724615214994,0.0164459434889572,23.08,,5.87154656196429,53.62661369284,,8.27,,,,,,
18-09-2020 18:24:16.566,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:16.695,,,,,,,,,,,,,771,,,,,,,,,,,,,,,
18-09-2020 18:24:16.823,,,,,,,,,,,,,,,,,,,,,,,,1.828125,4.41364156557565,,,
18-09-2020 18:24:16.950,,,16.1441365983344,,,,,2.85826111266424,,,,,,0.00205658736091697,2.23765814516196,0.0205658736091697,23.08,,6.04904192357143,55.1044181259039,,8.52,,,,,,
18-09-2020 18:24:16.994,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:17.038,,,,,,,,,,,,,769,,,,,,,,,,,,,,,
18-09-2020 18:24:17.084,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.56110475318532,,,
18-09-2020 18:24:17.147,,,16.1452766137398,,,,,2.8783897120492,,,,,,0.00221459920268381,2.23781615700373,0.0221459920268381,23.08,,6.09164081035714,55.6368011468643,,8.58,,,,,,
18-09-2020 18:24:17.192,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:17.238,,,,,,,,,,,,,773,,,,,,,,,,,,,,,
18-09-2020 18:24:17.284,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.57624170290684,,,
18-09-2020 18:24:17.328,,,16.1463067700032,,,,,2.84148727984344,,,,,,0.00235738401742615,2.23795894181847,0.0235738401742615,23.08,,6.01354285125,54.6392992057132,,8.47,,,,,,
18-09-2020 18:24:17.370,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:17.415,,,,,,,,,,,,,769,,,,,,,,,,,,,,,
18-09-2020 18:24:17.458,,,,,,,,,,,,,,,,,,,,,,,,1.8359375,4.47125963225757,,,
18-09-2020 18:24:17.501,,,16.1472934932207,,,,,2.85826111266424,,,,,,0.00249414879461374,2.23809570659566,0.0249414879461374,23.08,,6.04904192357143,55.2477326073757,,8.52,,,,,,
18-09-2020 18:24:17.574,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:17.619,,,,,,,,,,,,,768,,,,,,,,,,,,,,,
18-09-2020 18:24:17.662,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.57624170290684,,,
18-09-2020 18:24:17.705,,,16.148478102434,,,,,2.89516354487,,,,,,0.00265834156136427,2.23825989936241,0.0265834156136427,23.08,,6.12713988267857,56.0338908476487,,8.63,,,,,,
18-09-2020 18:24:17.749,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:17.792,,,,,,,,,,,,,771,,,,,,,,,,,,,,,
18-09-2020 18:24:17.835,,,,,,,,,,,,,,,,,,,,,,,,1.84375,4.53083085374228,,,
18-09-2020 18:24:17.878,,,16.149478840905,,,,,2.8783897120492,,,,,,0.00279704892284037,2.23839860672389,0.0279704892284037,23.08,,6.09164081035714,55.4924774084807,,8.58,,,,,,
18-09-2020 18:24:17.921,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:17.964,,,,,,,,,,,,,770,,,,,,,,,,,,,,,
18-09-2020 18:24:18.008,,,,,,,,,,,,,,,,,,,,,,,,1.83984375,4.49127946898604,,,
18-09-2020 18:24:18.052,,,16.150485506838,,,,,2.88845401174168,,,,,,0.00293657786021806,2.23853813566127,0.0293657786021806,23.08,,6.11294025375,55.7588271887947,,8.61,,,,,,
18-09-2020 18:24:18.094,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:18.139,,,,,,,,,,,,,768,,,,,,,,,,,,,,,
18-09-2020 18:24:18.183,,,,,,,,,,,,,,,,,,,,,,,,1.83984375,4.50592813000687,,,
18-09-2020 18:24:18.228,,,16.1514787372561,,,,,2.82135868045849,,,,,,0.00307424456798062,2.23867580236903,0.0307424456798062,23.08,,5.97094396446429,54.6054486707677,,8.41,,,,,,
18-09-2020 18:24:18.272,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:18.316,,,,,,,,,,,,,771,,,,,,,,,,,,,,,
18-09-2020 18:24:18.360,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.56598764019226,,,
18-09-2020 18:24:18.426,,,16.152594361446,,,,,2.80458484763769,,,,,,0.00322887566517566,2.23883043346622,0.0322887566517566,23.08,,5.93544489214286,54.0695933723658,,8.36,,,,,,
18-09-2020 18:24:18.470,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:18.518,,,,,,,,,,,,,771,,,,,,,,,,,,,,,
18-09-2020 18:24:18.562,,,,,,,,,,,,,,,,,,,,,,,,1.83984375,4.51569390402075,,,
18-09-2020 18:24:18.607,,,16.1536346307745,,,,,2.8783897120492,,,,,,0.00337306220137918,2.23897462000243,0.0337306220137918,23.08,,6.09164081035714,55.4924774084807,,8.58,,,,,,
18-09-2020 18:24:18.676,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:18.723,,,,,,,,,,,,,769,,,,,,,,,,,,,,,
18-09-2020 18:24:18.767,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.57624170290684,,,
18-09-2020 18:24:18.813,,,16.1548261981608,,,,,2.8783897120492,,,,,,0.00353821940574038,2.23913977720679,0.0353821940574038,23.08,,6.09164081035714,55.6368011468643,,8.58,,,,,,
18-09-2020 18:24:18.860,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:18.905,,,,,,,,,,,,,770,,,,,,,,,,,,,,,
18-09-2020 18:24:18.953,,,,,,,,,,,,,,,,,,,,,,,,1.84375,4.5205767910277,,,
18-09-2020 18:24:18.997,,,16.1558619573092,,,,,2.81129438076601,,,,,,0.00368178080840556,2.23928333860945,0.0368178080840555,23.08,,5.94964452107143,54.2693347087224,,8.38,,,,,,
18-09-2020 18:24:19.216,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:19.421,,,,,,,,,,,,,770,,,,,,,,,,,,,,,
18-09-2020 18:24:19.623,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.56110475318532,,,
18-09-2020 18:24:19.822,,,16.1604313899827,,,,,2.76432764886777,,,,,,0.00431512705013512,2.23991668485118,0.0431512705013512,23.08,,5.85024711857143,53.3626871121567,,8.24,,,,,,
18-09-2020 18:24:19.929,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:19.975,,,,,,,,,,,,,768,,,,,,,,,,,,,,,
18-09-2020 18:24:20.019,,,,,,,,,,,,,,,,,,,,,,,,1.84765625,4.5459678034638,,,
18-09-2020 18:24:20.062,,,16.161828244303,,,,,2.90522784456248,,,,,,0.00450873805116019,2.24011029585221,0.0450873805116019,23.08,,6.14843932607143,56.2286784172234,,8.66,,,,,,
18-09-2020 18:24:20.104,,,,0,,,,,,0,13.8605005695556,,,,,,,0,,,,,,,,0,0,
18-09-2020 18:24:20.150,,,,,,,,,,,,,770,,,,,,,,,,,,,,,
18-09-2020 18:24:20.194,,,,,,,,,,,,,,,,,,,,,,,,1.83984375,4.5205767910277,,,
18-09-2020 18:24:20.237,,,16.1627883005745,,,,,2.73748951635449,,,,,,0.00464180665613643,2.24024336445718,0.0464180665613643,23.08,,5.79344860285714,52.8446027712619,,8.16,,,,,,
