Device time,"Ambient air temperature (℃)","Average speed (km/h)","Barometric pressure (kPa)","Calculated boost (bar)","Distance travelled (km)","Distance travelled (total) (km)","Engine RPM (rpm)","Fuel level input (L)","Instant engine power (based on acceleration) (kW)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (m_sec2)","Vehicle speed (km/h)",
05-09-2020 19:04:20.466,,,,,,,,,,,,,0,
05-09-2020 19:04:20.668,,,,,,,,,,,,,0,
05-09-2020 19:04:20.875,,,,,,,,,,,,,0,
05-09-2020 19:04:21.005,,,,,,,,,,,,,0,
05-09-2020 19:04:21.136,,,,,,,,,0,,,0,0,
05-09-2020 19:04:21.271,,,,,,,,,0,,,0,0,
05-09-2020 19:04:21.403,,,,,,,,8.55,,,,,,
05-09-2020 19:04:21.553,,,99,,,,,,,,,,,
05-09-2020 19:04:21.684,18,,,,,,,,,,,,,
05-09-2020 19:04:21.819,,,,,,,,,0,,,0,0,
05-09-2020 19:04:21.947,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.075,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.204,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.336,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.474,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.628,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.768,,,,,,,,,0,,,0,0,
05-09-2020 19:04:22.892,,,,,,,,,0,,,0,0,
05-09-2020 19:04:23.034,,,,,,,,,0,,,0,0,
05-09-2020 19:04:23.219,,,,,,,,,0,,,0,0,
05-09-2020 19:04:23.417,,,,,,,,,0,,,0,0,
05-09-2020 19:04:23.557,,,,,,,,,0,,,0,0,
05-09-2020 19:04:23.714,,,,,,,,,0,,,0,0,
05-09-2020 19:04:23.852,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.065,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.189,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.338,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.487,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.637,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.761,,,,,,,,,0,,,0,0,
05-09-2020 19:04:24.912,,,,,,,,,0,,,0,0,
05-09-2020 19:04:25.096,,,,,,,,,0,,,0,0,
05-09-2020 19:04:25.299,,,,,,,,,0,,,0,0,
05-09-2020 19:04:25.501,,,,,,,,,0.0545226892816853,,,0.375339870252514,1,
05-09-2020 19:04:25.706,,,,,,,,,0.465064052103501,,,1.04918222121277,3,
05-09-2020 19:04:25.886,,,,,,,,,0.837495570923375,,,1.40579907017919,4,
05-09-2020 19:04:26.018,,,,,,,,,1.44453932233165,,,1.93127032256448,5,
05-09-2020 19:04:26.149,,,,,,,,,1.94462114285328,,,2.14328685350024,6,
05-09-2020 19:04:26.279,,,,,,,,,2.10082546517326,,,1.93887231928605,7,
