Device time,"Barometric pressure (kPa)","Calculated boost (bar)","Engine RPM (rpm)","Fuel/Air commanded equivalence ratio ()","Intake manifold absolute pressure (kPa)","Throttle position (%)",
16-08-2020 20:40:03.548,,,,0.999424,,,
16-08-2020 20:40:03.697,,,779,,,,
16-08-2020 20:40:03.825,,,,,,18.8235294117647,
16-08-2020 20:40:03.990,,-0.660308823529412,,,35.2941176470588,,
16-08-2020 20:40:04.133,,,,0.999424,,,
16-08-2020 20:40:04.262,,,785,,,,
16-08-2020 20:40:04.458,,,,,,18.8235294117647,
16-08-2020 20:40:04.672,,-0.648544117647059,,,36.4705882352941,,
16-08-2020 20:40:04.894,99,,,,,,
16-08-2020 20:40:05.118,,,,0.999424,,,
16-08-2020 20:40:05.345,,,785,,,,
16-08-2020 20:40:05.574,,,,,,18.8235294117647,
16-08-2020 20:40:05.794,,-0.637058823529412,,,35.2941176470588,,
16-08-2020 20:40:06.001,,,,0.999424,,,
16-08-2020 20:40:06.140,,,780,,,,
16-08-2020 20:40:06.268,,,,,,18.8235294117647,
16-08-2020 20:40:06.412,,-0.637058823529412,,,35.2941176470588,,
16-08-2020 20:40:06.544,,,,0.999424,,,
16-08-2020 20:40:06.691,,,778,,,,
16-08-2020 20:40:06.818,,,,,,18.8235294117647,
16-08-2020 20:40:06.954,,-0.625294117647059,,,36.4705882352941,,
16-08-2020 20:40:07.082,,,,0.999424,,,
16-08-2020 20:40:07.221,,,786,,,,
16-08-2020 20:40:07.351,,,,,,18.8235294117647,
16-08-2020 20:40:07.492,,-0.625294117647059,,,36.4705882352941,,
16-08-2020 20:40:07.619,,,,0.999424,,,
16-08-2020 20:40:07.761,,,786,,,,
16-08-2020 20:40:07.896,,,,,,18.8235294117647,
16-08-2020 20:40:08.047,,-0.637058823529412,,,35.2941176470588,,
16-08-2020 20:40:08.187,,,,0.999424,,,
16-08-2020 20:40:08.317,,,786,,,,
16-08-2020 20:40:08.458,,,,,,18.8235294117647,
16-08-2020 20:40:08.573,,-0.637058823529412,,,35.2941176470588,,
16-08-2020 20:40:08.794,,,,0.999424,,,
16-08-2020 20:40:09.028,,,772,,,,
16-08-2020 20:40:09.249,,,,,,18.8235294117647,
16-08-2020 20:40:09.472,,-0.625294117647059,,,36.4705882352941,,
16-08-2020 20:40:09.696,,,,0.999424,,,
16-08-2020 20:40:09.928,,,781,,,,
16-08-2020 20:40:10.119,,,,,,18.8235294117647,
16-08-2020 20:40:10.262,,-0.625294117647059,,,36.4705882352941,,
16-08-2020 20:40:10.393,,,,0.999424,,,
16-08-2020 20:40:10.532,,,783,,,,
